TeamName,Score
aoi_sugawara,372.3
lollipop947,753.0
harsh,515.3
kkunizaw,636.6
sugawarachikara,494.5
Alex Boyd,731.5
shiiin9,842.1
tonimasu,578.0
MAKOTO MATUDA,790.1
Aakansha.aakaa,478.6
Jay,242.2
Mactorr,580.5
Yuta Watanabe,843.7
Yaro Perventsev,744.3
yoiki,723.6
MIRAI LAB,807.4
Takibi,688.3
tamanegi1111,723.7
halup,1150
heren-27,672.4
k3nt,675.3
oct_path,828.1
Chellick,947.5
Kevin Ramirez,916.1
esu_oshawott,346.6
Koba Empire,1051.9
Kirill Krasikov,543.6
github/shepsci/kaggle-skill,1016.8
moisutsu,713.4
Tai Yoda,342.2
kuritamar,837.2
HEROPAP,609.5
Gotta Prompt ’Em All,870.5
Ryuto Yoda,837.9
Clanishing Hammers,578.8
hiroshun,673.2
Andrin Rehmann,630.2
hydrogenbonds,587.5
true-machida,364.2
yuhei,708.7
digimagi,668.8
littlecitizen,312.9
djschmit,1055.4
juice-le,363.6
KodaiKatayama,685.7
Needleham,283.8
清水一希,908.0
ronniepiku,544.3
PokePoke-777,879.1
Varish Guharaman,577.4
0xWhalet,789.8
EL,705.8
chy345,819.4
安藤駿介,799.8
rkd,546.2
mayukistarry,458.8
TGMATH,895.6
LeonArdoV.,684.4
Budew,978.5
Shoto,998.1
poolim,591.9
DhawalModi,518.3
Bancho,781.7
sota_k_1021,526.4
うめくみ,221.6
Pokkén,1064.7
NangJP,810.9
Bright O.H.,712.3
魔法少女ノ魔女裁判,825.8
Help-Computa,797.3
mtskggle,731.4
nodel,565.3
uesi,914.9
NaNomin,615.3
EF,1150
Unicorn,832.6
Iwasaki Takanori,659.6
yottan0304,683.6
RyotaNakajima,743.4
hironobu sakuma,636.4
Finlay Anderson,780.0
Sean Jeong,555.2
William Humphrey,675.0
guglilac,544.0
Tanupro,904.2
ntk_ta01,656.9
Manan Gupta,829.1
Kyoungwon Jeong,371.6
Francisco Vargas,585.6
wani,343.7
ミラクレ,514.9
TG_Aetheryx,1150
齐乐,453.3
kawauso9n,602.0
tyakku_k2k,548.9
IShun,427.1
Alan Scott Encinas,826.6
takahi526,451.6
haiy_qq,901.0
protoAgent,760.1
Ty-Yuki,931.4
Ryoki Kunii,275.8
chinaq,649.7
tsukammo,1070.0
kazu107,755.2
NaoKato,639.5
Topdecking is All You Need,724.3
takanori-suzuki-desu,714.5
Z19 Maker,400.6
Christian Rangel,454.5
Bondo,382.0
Katsuhito Muroi,901.9
midnq,783.3
Ryohei Matsumoto,600.9
ISSEI,860.8
Shota Hirao,847.7
Ryutaro Murayama,753.2
水間,928.8
Marco DG,423.0
TAKESHI7676,736.6
gecogeco,528.7
philip next,668.3
Collin Christensen,817.3
TomTom,720.7
matsubarajotaro,632.8
Dancing_RYAN,480.6
Haruki Miura,689.0
SeaEag1e,593.7
ryoya,1042.2
Tommy,748.1
Kohta.F,751.3
Genki,826.7
CourtB559,654.8
taksai,647.9
nya,437.5
Suneet Kumar Saini,262.8
tadashikato,769.8
Florian Tanguy,394.3
hau,616.3
ToastUz,589.2
Panoptes,369.9
shintaro2026,791.1
xsong2020,838.4
Siqi Jia,734.7
monyai,566.6
auaua159,825.9
Totomatotomato,581.7
anngle,892.9
Lior Toledano,816.3
YU YAUCHI,725.4
HIrora10,792.1
Bata09,1099.1
Nicolai Karcher,817.7
larry54321zhao,676.2
東城立憲,319.9
Yuuma Funasaka,642.5
Naoshin,870.8
HARUKI HARADA,652.7
solle,680.6
tomokawa,701.5
没落者,799.6
bigwave2,651.6
heart_mugi,548.3
shogo1229,864.5
bonsai,998.9
Ohashi,777.2
Shachify,861.7
Yosuke Yamaji,660.7
Poké Bowl,847.9
M Sato,740.3
yuyutech(Genuine),771.0
Shintaro Sekimoto,519.6
askamijo,961.1
naoteru nakamura,432.3
Fumi,985.6
sh1kuwasa,530.7
alekh,381.3
Shion Fukuzawa,661.8
monnosuke,1150
Maxim Simakov,523.0
DeviPriya Raju,509.9
Been Seo,802.6
yanakatsu,703.4
Prashant Kikani,672.1
lol_dino,651.3
Akito Maruo,956.0
Oshbocker,981.7
balake235,727.1
Mokuron01,683.3
Kawee Lekmuenwai,681.8
Team BlackBox,1081.2
pop-ketle,512.6
RyoK,813.8
norizuca,696.4
G Pokemon,948.1
taichi-1,520.0
Yuta_poke,524.2
あれすくん,718.4
Swampert,737.4
SoshiSaito,113.6
Toshiki Shinju,875.9
NOISEFALLACY,860.1
Leocthl,784.8
Kobasun,619.4
Aikimi,744.0
NSK,820.1
Andreas Palmgren,609.3
Mitudru Dutta,794.0
khj1222,759.0
Eesh saxena,565.6
The Weeknd,426.9
VK,818.6
Kawamura Shoma,680.8
Bigree,521.9
Miao,443.5
Marshall Maximizer,771.0
LumenLiquidity,751.3
sato7564,485.3
RED,691.6
PxlPau,476.2
Ryuuji Yoshinaga,740.8
Gaku Shimoyama,275.7
Tensa.bit,746.8
ysakuragi,992.2
sidney gautrau,459.8
mands,752.6
DittleDev,689.8
いもぺ,498.0
KiChang.Kim,693.0
Mayuko Tatsuki,678.1
Kawake1,320.5
Moegi,1121.4
owaowata,697.5
lackmind,665.9
knshnb,732.0
Y M,639.9
Honda Motomasa,583.2
graybackcat,861.0
irelia 0/11/2,427.0
Achal Jain,825.9
キキ327(トウカ),908.0
Saianiruth M,522.2
Alexandru Tanasel,923.0
C,426.8
RickArko,507.1
Waha,419.5
pokesom,406.7
中村円威,670.3
noikaret,990.7
kkanayj,841.4
mshibatatt,497.9
nun,667.3
Matthew Potteiger,835.3
Fernando Ruiloba,496.3
re_eee_ne,530.6
HirokiGLHF,511.7
y.shimada,840.6
M Rislan Tristansyah,625.2
miruto,688.2
Ludicolocolo,434.8
ぶれめか,679.8
Kaikaku,660.6
tomoki225255,841.6
Le Chaton Fat,377.2
m333studio,780.0
ZAMA,555.1
kevin28gou,671.6
mishio,430.2
Yuya Fujiwara,862.7
r1ck.sync,774.6
Shizk2205,756.4
nekobo,686.3
piooone,260.7
Kuriboh,806.9
Sijin Yu,533.0
akay,477.9
Masaya_SAN,661.2
snowsapphire,985.7
Ausrine,979.2
FcoUniverse,517.5
Ohnishiiii,777.5
tsumuit,724.6
denden,775.9
rmoooi,902.3
Famous VibeCoder On The Earth,619.4
Pika 1,600.0
jiwon95,475.4
builds,603.2
clawspark,597.3
Dick Jessen William,1202.4
Mai Kevin,468.6
t.eno,824.0
the mudkips,628.6
UMRgurashi,270.7
Yuta Tadokoro,524.9
田中紘章,686.9
saxsir,718.0
Jerryssk31,610.6
シュテファン,210.4
Anthony Ellis,759.6
Dirk Moreno Arias,409.9
taka0808,911.5
qiao jinxia07,836.8
YK-Orfeluna,520.4
andmohiko,679.2
tahi,797.0
arutoria,670.8
Codyzzzz,789.3
LIn Lin,847.1
Edward Lue Chee Lip,821.1
Kiyotaka Kobayashi,486.2
PLAYERshi,680.0
Du Dinh,782.1
sleeping aqua,345.9
Cafelatte1,340.4
Tia_Stella,712.5
ShinjiroKuroda,969.4
qqqqqqq1111,533.1
NeXT.MeTA,165.3
amokun,633.4
Tatsuya50,622.2
Patrick M.,629.6
radian0523,731.1
WintoMT mo,452.8
Joseph Kharzo,592.9
Emanuel Lázaro,586.3
SunaD0630,769.1
tokawa2997,990.0
なかけん,578.1
kouki__k_4869,817.9
Roma Tikhonov,703.3
AM,831.2
Prify Philip,690.7
SCU_12600883,862.9
MEROBO,685.4
vibechu,937.1
torii_kujirapoke,594.1
まっさん,435.9
MamiMamiko,750.8
Tetsuya A,467.4
Gotem Penguin,1150
kawanot,411.2
l2658183739,799.1
Marius K,715.5
hrkunno,365.2
greySnow,631.9
PKMN Trainer L,590.3
Yuki Mizutani,529.9
Brendan Gho,798.7
RyotaroAbe,627.7
Deobot,362.0
Saikattyo,733.7
Mathurin Ache,996.6
hibi,751.1
ヌメルゴンex,748.8
Xinda Ding,449.7
Kohecchi,721.7
Wataya Iga,745.4
ASAGAO,700.7
Hexylab,1009.7
Haruto Koizumi,807.5
blue0620,1150
Carlos David Andrade,405.5
JKong,317.4
Ryusei Murakami,593.3
Tsubasa Hirose,680.6
Takahide Seki,724.7
EliKal,608.9
西松大祐,884.0
surugawannoebi,808.8
kekekk,676.2
Tuna Xiao,546.0
Kerusu1984,503.4
pompom555,1010.8
RtoABC,921.1
foooota,792.1
Joey Dufourd,631.5
MITSU,176.1
BasicallyBot,380.3
Atomu Naka,926.1
Kaleidoooooo,706.5
hamuhei,879.0
Herrmannw,773.7
Takuya Shinozaki,378.4
Masatoshi Hidaka,889.0
nishiki,812.0
kuromoka,739.5
daigakupotato,576.3
atknak,484.2
Hwan Chang,496.9
Flood Beast,476.8
Toshiko1031,690.7
Luke Francis,587.4
TAKESHI KANEKO,567.4
Mualli,132.3
yut,242.1
Danielvo59,728.3
Shiri,765.7
Kirderf,585.7
zegure392end5321d,542.4
BRIJITH,821.1
Steve Watson,523.8
paistieco,658.2
Shunsuke Kurita,824.6
Lucas Sterniak,507.1
elroy3141,282.0
ottojr,535.0
Sama,209.7
Ryota Matsuki,637.7
Takauchi Suguru,311.0
藤田聖矢,380.3
professor oak,835.3
yu24march,733.9
Pocket Arena,502.6
zono819,427.1
bkal01,520.9
ホテルくましい,678.0
naoki,531.8
Empty Hand,912.3
Yuki Yanagi,672.2
KouFu,712.6
Otsuka Naotsugu,912.3
Master Yoio,408.3
mqi666,408.1
hinata1119,722.5
stale2000,720.3
SOVEREIGN,230.4
zhan renyi,748.3
KuboiYusuke,734.0
iruka4444,889.9
T_death,355.1
tanaka yamada,0.0
Pascal,738.3
fakermitu,606.3
goukenn,317.9
Yoshimura Soichiro,956.4
Jebriel Abdul,656.2
razona,765.7
RicardoLópez,792.6
ebrownel,328.0
Arthurs Torres24,690.7
尾崎裕基,679.8
Toru59er,901.9
Timothy Bender (TBenderMMA),613.1
Soliruss,602.4
NuuNohjo,674.3
EmoLab,627.8
SIGOTO,652.0
YIN,1083.1
Orin,951.9
redm,743.9
Quan Nguyen,869.3
Kerminal,458.7
cimyzzz,957.6
tarou_imokenpi,680.2
Janglish,980.2
dhue123,673.1
yuna5577,646.4
yakitori55,329.3
樹神,812.0
Kaung Htet San,853.5
（かえる）,768.2
Yujiro Seki,488.8
kt,860.4
Momotaro1226,559.6
taopy2,923.6
humita,733.8
yu_yukk_y,444.3
情理とこうせい,720.3
Team D,850.9
capella,687.0
Huangxiayiluo,781.1
y.saito,768.5
Jermaine Wiggins,438.1
nescence,686.2
nakusnakus,667.0
Samsay24,684.0
Yuichi Yoshida,543.9
ポケポケマスター,885.1
Iadh Jarray,800.9
K.A,531.8
miya,645.4
sy0718,433.1
hirune924,710.3
kisamaki0815,325.6
みずあめ,1075.8
snowfairytea,217.6
riku_cascade,477.1
Neubor,730.1
sitne,884.6
Ryu310_bnb,473.3
tk,885.6
KouchSato,613.2
yun8686,518.2
poppy457,971.6
watawata_user,559.2
Leifson1337,608.3
hattori88,655.4
HoooosE,693.6
Karolina Kafel,1150
Kaii,450.6
[RU] Nikita Kuznetsov,851.9
SkiChu,823.9
datascientists,691.2
Fuzoku,859.1
YusukeKatoPremium,821.9
mamaPaPa Cloude,660.5
fu,498.9
FJMT,771.2
АНАНАС,966.0
チーム魔剤,778.4
Vigneshmurali Iyer,395.7
Kyo_s_s,979.8
Juan Zapata,402.7
Kenst Ligu,791.2
Kazuya Hirose,826.0
wmore8,779.1
kotone,519.2
askbox,684.1
Carter Davis,531.3
Nikodem Kuliś,657.6
ゆづいぶ,574.5
Fumisky,503.8
Shih Hua Chou,703.5
Borrun,807.3
yq line,897.7
yusuke0723,743.8
Leopard Jaguar,742.7
zoira,891.6
MiTo Barchetta,688.2
Phil_Hellmuth,854.3
yuhas0726,600.0
Masashi Oohira,458.4
Rotation Theory,632.8
Watta,525.4
MewVMAX,303.8
Koki _1231,914.8
Ats Kubo,684.5
tk1024,538.8
Fの人,522.8
Mesut Gözdemir,434.2
Takahiro Cho,344.5
muko,644.0
Raster0x2a,652.1
Allan Kássio Beckman Soares da Cruz,313.1
D_en3120,704.6
nishikun,495.2
codebeforework,941.1
EclipseHW,216.8
Neko,701.6
GGMaster,740.7
Kaiba Corporation,638.8
kaneko takafumi,749.6
kwsk0907,324.1
Pushu?,683.4
Rojiura Studio,729.6
King-Hal,441.6
hiru0118,468.7
Condor,579.2
MamMr,393.2
Alvin_Lee,365.5
miyajiyuta,566.9
ryamamon,491.1
TechRegigigas,612.8
Super Monkey42,483.4
eikichi,395.9
jp_nerdery,731.5
aaaaaa,590.1
Hikaru Ebihara,457.3
Sapiens Livre,337.0
anthonychiang000,521.4
Brian,546.5
Kaito Fukami,733.1
Dasinu,953.5
Andrew Daniels,655.7
Nozopo,268.4
Arrtaa,834.7
Sho Hasegawa,557.6
Seiha,332.6
currypurin,406.3
Takasawy,668.3
N,678.9
OgawaraMakoto(Noah),632.3
Got That Weedle?,1051.4
Ryo Ochi,1008.3
The Lion Pride,144.1
StormGrid Lab,425.1
gerbera_105,597.4
taiki,1023.7
Pilkwang Kim,949.7
河村直樹,747.8
齋藤壮汰,637.2
Дворкин Евгений Владимирович,396.5
Fomo,870.3
Kalameet,384.8
を,1119.2
yamuyamu,623.2
princehur,855.0
Cerys Jones,806.1
infamemconculcemus,854.7
ren110,439.2
Xiaolei Lian,851.3
Yufeng,908.6
shibachan,690.2
SORA,687.4
PhiRogue,300.3
highwide,580.8
reika555,756.0
chakaravarthi j,522.3
akamiko,702.3
K MATSUI,662.9
結束バンド,588.8
XIAODOUZI,923.0
yoikoarmor,645.4
Hattoriiiiii,264.9
Arun R.noa,181.2
Eruto Kondo,809.6
dararu,603.2
くりたんとたけちゃん,822.6
mono_ogu,511.3
Kaiman2110,390.4
takoyaki_taiyaki,358.8
Inlon Kou,1032.2
MeMu,725.6
Yuki Nakatsuka,451.3
warabimochi-king,705.9
Efthimios,857.1
haruhi s,205.1
Mereci,735.0
Tomohide N,717.6
Jakub Pasečný (Fujka293),472.1
OzanM.,928.3
senkin13,743.0
Chipping Spearow,648.4
trow126,398.1
yue13,968.0
syosinsya,346.8
Ryoya Tanoue,300.6
mutou,499.3
ljdzzz10,496.3
oji12_king,468.0
taya,460.0
Silas Kinsman,369.0
sasanatu72,948.2
Satoru Sugizaki,510.1
Diogo Sena,676.8
Takumu Hata,444.9
Gosuke Watanabe,529.9
Akhil Chinta,845.4
Mudkip_88,495.5
Andrew Lee,355.5
Léo DEVIN,502.0
CleAAAAAA,603.7
keroqueue,566.8
mitomeat823,864.3
Cada,321.0
nomal_sheep,655.1
yuu2704,748.6
ShoDryu,913.0
mori0520mori,733.3
luis derares,580.5
ASDA,423.1
ryopulse,725.8
Ryoga Naito,916.9
Aditya Sasidhar,546.1
panda__MB__maximus,879.0
Michey0495,869.1
feles42,630.7
Zheng Tang,413.4
PyJa,938.3
takuya008,543.9
YOGA RAJ 1503,491.8
Tri Nguyen,541.0
Tomoya Otani,566.5
新松戸ポケカ研究所,393.7
pineorpine,519.4
nagisora,397.9
SkySell,919.8
teetru,992.2
nakkan_AI,756.8
ゼミ費ください。,717.3
テン,600.7
So Momma,557.8
東アジアフォレストリバー探検隊,652.5
Karthik Ragulan,448.0
pepe,741.5
Yuiki,1037.2
たいたん,825.7
disgruntled.coffee,940.2
Kumajiro,100.2
T U (seiryu0730),512.1
ken4500,805.4
Bugis,821.5
brackylove,264.5
ЧАРИЗАРД Я ВЫБИРАЮ ТЕБЯ,967.0
morikennnnn,175.8
usubazzz,396.7
Team kuma,1150
fuga doggo,686.7
Roman Rozen,827.5
Kurokawa,832.3
Danny,792.9
TaSuy,719.4
ky_penyo,672.0
Shakthi Kondamoni,661.7
青学技術開発チーム,622.5
kidnanarya,453.0
Florian Brunotte,363.8
kokonoka,210.5
soba sobasoba,495.9
TY0912,812.7
So Mukaichi,800.2
KK_1999,729.3
TBBJason,997.6
mikke9747,728.2
Sébastien henry,153.7
Daksh_Malhotra_Kaggle,801.9
spacekkk,903.1
TaiNingLiao,741.7
T Okano,599.9
ymandso,631.7
cam3ronc,924.1
Down_Town_robato,487.7
MKTRIP,382.1
keidroid,1366.9
EitaF,566.8
NayuNayu,593.5
kojimari,580.4
clora,729.1
Taimo,639.9
CSCMU,593.5
nabepoke,650.4
Pratikp02,402.1
piro3112,336.1
Angus Chang,952.1
Uta U,841.5
HID_garal,524.3
Riku Suzuki,777.8
Shanghai,756.6
AbhilashVJ,612.7
yu10,600.0
nanocloudx,606.0
ktm,958.6
matsuda2929,537.5
LunarLabs,397.1
箕面からこんにちわ,657.9
mochamocha_Y,653.2
zhang et al.,774.9
lucky,568.7
program,410.5
Keita Kakinuma,340.0
yuta_muds,673.1
RG,321.8
Cosmic Birefringence,937.0
osgggg,953.8
Fahim Faisal,837.2
gosu.Kouts,739.1
Brian Yong,922.1
maniginam,786.3
kibinyan,323.7
motemen,658.2
Issac Netero,1079.8
takaygiiiiiiii,1081.4
yk724985,661.9
jorge fabian avila,658.5
orecci,11.2
Shota Yamazaki,292.0
yomogii,915.5
Brian Altan,861.7
URAD,808.5
ShoheiSaito,642.4
Pure Spirit,689.9
suzutanuki,803.1
CaRuff,701.9
mashuuuooo,600.0
delightening,473.4
ri5de2408,447.7
minasehiro,747.5
ohnuma,670.0
香村貴之,848.8
PP.TAKEHIRO_KAWADA,671.4
Arata,612.4
Hardik Yerne,263.1
taku_sid,905.6
Majkel1337,794.1
Narumi Miyazawa,345.2
Kazuki Shiraishi,840.5
Kan,865.2
zzz_nya,673.2
Sky kun,685.5
thyme20010113,366.8
eurusoo,1016.2
GarlicToday,958.1
Quentin Barbarat,322.1
TutaevAlim,554.4
rong,353.0
kakuteki,764.1
moe,761.7
Miyatanian,439.3
soju,753.3
Team,840.6
Kento_1938,730.9
konaito,948.3
takumi_ot0000,528.2
Capitaalgain,759.9
Japanese Kaggle Newbie,940.3
Gogona557,613.6
nasubii,677.6
AlterEgoProject,337.2
Jose Coronel,821.5
ShoKSE,274.8
The8BitsLab,595.9
sho-t,251.2
ei1333,799.9
yyy yyy,558.2
小松崎　大世,808.1
SmithyAlan,739.2
anthony mbadiwe ikeme,684.1
Hiroyuki Jodai,308.1
5.5,1038.1
Xxbozohead,752.1
umsyspokeka,679.1
Paami,494.6
osam,726.7
DDDomyo,527.6
DeeRang25,548.0
Keita Yanome,844.9
fasly,584.0
Alfonso Sánchez,991.2
hirotaka kaminishi,576.1
Leona_Giga,715.4
nakonisu,704.3
Yucahu,642.0
Zero Coke,555.1
mattsu2020,852.7
tamakiken_OB,793.4
Kentaro Hirose,699.4
taku_Kuma,649.5
takahiro k0bayashi,820.2
Lonnie,691.4
ryusei,845.7
Haruto_Beginner Data Scientist,710.1
8ball,632.6
lolnazo,628.3
pcxxxxxx,349.4
SK,848.1
lucasta1,678.6
neuro168,1022.6
1++++++++,997.8
Dmitriy,821.2
Occult Lab,644.3
Natpaphon Nukhunthod,621.1
Reyhan Ksatria,857.9
Miltank Lovers,616.0
Nekoneko,410.1
pokecrey,576.1
Stanislaus Dusek,690.9
ちょろ,461.0
Clark Kitchen,935.1
conan1024hao,964.2
bohemian3657,771.6
Jihyekor02,411.0
ituhime,594.6
東京みらいテック行政書士事務所,704.5
tstakeda,428.8
zamami,821.3
PTCG_CN,872.4
Mysterious Rock Inn,486.1
AK,396.9
Konichiwa,793.9
Yushin Ito,1169.8
ryus1234,646.4
George,564.1
suzuna0831,817.2
Luca925,537.7
Athar,784.8
Thái Văn Tài,461.8
Andrew Harlen,838.6
Ravindra,340.6
らすはる,973.5
Xander,994.7
AlphaMon,800.3
nyahomaru.,507.0
DIGIPONSTER,378.2
Alghital,850.2
Bektursyn Shaimerden,995.2
dodecagon,443.2
Kouhei　Sakamoto,543.9
impaja,907.5
shu,844.1
MMA,705.3
Nori Miya,687.6
seigou,672.9
abidencewww,667.7
rｍrm129,564.7
