team,games,wins,win_pct,modal_archetype
Yaroslav,64,29,45.31,Marnie's Grimmsnarl / Marnie's Morgrem
Oshbocker,58,29,50.0,Marnie's Grimmsnarl / Marnie's Morgrem
Raschodevich,52,29,55.77,Marnie's Grimmsnarl / Marnie's Morgrem
哈基米南北绿豆,57,28,49.12,Fezandipiti / Alakazam
__Taichicchi__,60,26,43.33,Marnie's Grimmsnarl / Marnie's Morgrem
Pushu?,60,26,43.33,Fezandipiti / Alakazam
"kenkoooo @ estie, inc.",59,26,44.07,Fezandipiti / Alakazam
齐乐,57,26,45.61,Fezandipiti / Alakazam
less,55,25,45.45,Marnie's Grimmsnarl / Marnie's Morgrem
☕ Psyduck Needs Coffee,55,25,45.45,Marnie's Grimmsnarl / Marnie's Morgrem
ペンギン,47,25,53.19,Marnie's Grimmsnarl / Marnie's Morgrem
NIWATORI,45,24,53.33,Kangaskhan / Cornerstone Mask Ogerpon
zhangshuosc,58,24,41.38,Cynthia's Garchomp / Cynthia's Gabite
What Lucario,43,23,53.49,Kangaskhan / Crustle
pokemon master,41,23,56.1,Fezandipiti / Rillaboom
I4Kaggle,46,23,50.0,Marnie's Grimmsnarl / Marnie's Morgrem
perrodawn,47,23,48.94,Rillaboom / Dipplin
szlachetny snieg,51,22,43.14,Dragapult / Meowth
Zyy7390,57,22,38.6,Alakazam / Kadabra
senkin13,57,22,38.6,Marnie's Grimmsnarl / Marnie's Morgrem
gecogeco,57,21,36.84,Kangaskhan / Cornerstone Mask Ogerpon
NguyenThanhNhan,38,21,55.26,Marnie's Grimmsnarl / Marnie's Morgrem
Marshall Maximizer,41,21,51.22,Lucario / Hariyama
JB Bryant,53,21,39.62,Marnie's Grimmsnarl / Marnie's Morgrem
Where is my orbit,54,21,38.89,Kangaskhan / Crustle
tktkyamyam,37,21,56.76,Teal Mask Ogerpon / Hero’s Cape
Evgeniy Zdoronok,31,21,67.74,Fezandipiti / Alakazam
takayosi,48,21,43.75,Teal Mask Ogerpon / Hero’s Cape
kanno,35,20,57.14,Lopunny / Dudunsparce
Can,42,19,45.24,Fezandipiti / Alakazam
Team KASA.,37,19,51.35,Lopunny / Dudunsparce
cyrus,38,19,50.0,Dragapult / Meowth
loIzpo + emonga,41,18,43.9,Lopunny / Lillie’s Clefairy
KouFu,45,18,40.0,Teal Mask Ogerpon / Hero’s Cape
MR.h,41,18,43.9,Fezandipiti / Alakazam
GPT-5.6 Sol🏆,50,17,34.0,Marnie's Grimmsnarl / Marnie's Morgrem
Confusion,33,16,48.48,Teal Mask Ogerpon / Hero’s Cape
Dakuma,35,16,45.71,Lopunny / Froslass
李秉叡（ntumlnoob）,29,15,51.72,Lucario / Hariyama
Kosmostars,38,15,39.47,Marnie's Grimmsnarl / Marnie's Morgrem
Brahim,34,15,44.12,Lopunny / Dudunsparce
Ars Noveau,32,15,46.88,Marnie's Grimmsnarl / Marnie's Morgrem
tonakaiiii,34,15,44.12,Venusaur / Kangaskhan
kigasudayooo,37,15,40.54,Teal Mask Ogerpon / Hero’s Cape
MoriBob,25,15,60.0,Marnie's Grimmsnarl / Marnie's Morgrem
Jonathan Coletti,28,14,50.0,Lopunny / Dudunsparce
KanaeKanae,34,14,41.18,Marnie's Grimmsnarl / Marnie's Morgrem
Ayanokoji Fan Club,24,14,58.33,Marnie's Grimmsnarl / Marnie's Morgrem
Scio,36,14,38.89,Marnie's Grimmsnarl / Marnie's Morgrem
Saber,25,14,56.0,Teal Mask Ogerpon / Hero’s Cape
Team,27,13,48.15,Fezandipiti / Alakazam
Pokemon Fan,27,13,48.15,Fezandipiti / Alakazam
llkarill,27,13,48.15,Arboliva / Teal Mask Ogerpon
stnick,28,13,46.43,Lopunny / Froslass
ei1333,22,13,59.09,Fezandipiti / Alakazam
JZ,32,13,40.62,Marnie's Grimmsnarl / Marnie's Morgrem
Jack,29,13,44.83,Lopunny / Froslass
Ghleii,28,13,46.43,Fezandipiti / Alakazam
six seven,27,13,48.15,Kangaskhan / Crustle
Challengestone,25,12,48.0,Fezandipiti / Alakazam
fishcat,29,12,41.38,Fezandipiti / Alakazam
Roman Nesterov,29,12,41.38,Marnie's Grimmsnarl / Marnie's Morgrem
{{ team_name }} 🏆,21,12,57.14,Team Rocket's Mewtwo / Team Rocket's Spidops
yumizu,26,12,46.15,Marnie's Grimmsnarl / Marnie's Morgrem
NoOneAhead,27,12,44.44,Marnie's Grimmsnarl / Marnie's Morgrem
kazuki0123,19,12,63.16,Kangaskhan / Teal Mask Ogerpon
tw_shin,25,12,48.0,Venusaur / Teal Mask Ogerpon
Changyuan Chen,23,11,47.83,Teal Mask Ogerpon / Hero’s Cape
insuperabilehart,31,11,35.48,Lopunny / Dudunsparce
A. R. SEKKAT,26,11,42.31,Marnie's Grimmsnarl / Marnie's Morgrem
Iliamna,24,10,41.67,Marnie's Grimmsnarl / Marnie's Morgrem
Nghia Tran,27,10,37.04,Teal Mask Ogerpon / Hero’s Cape
タニシ,16,10,62.5,Lopunny / Teal Mask Ogerpon
Octavi Grau,27,10,37.04,Lopunny / Dudunsparce
宝糕手,23,10,43.48,Fezandipiti / Alakazam
typeIIIfairy,22,9,40.91,Lopunny / Froslass
MTADA,30,9,30.0,Fezandipiti / Alakazam
da da,11,9,81.82,Lopunny / Froslass
flxwld,23,9,39.13,Team Rocket's Mewtwo / Team Rocket's Spidops
Juyong,22,9,40.91,Fezandipiti / Alakazam
miya,18,9,50.0,Fezandipiti / Alakazam
Yan,24,9,37.5,Teal Mask Ogerpon / Tapu Bulu
kashiwashira,17,9,52.94,Venusaur / Teal Mask Ogerpon
ropeadope,24,9,37.5,Kangaskhan / Crustle
PokeMiniMax,14,9,64.29,Thwackey / Seaking
goonew,14,9,64.29,Cynthia's Garchomp / Cynthia's Gabite
ポケカ前線,16,8,50.0,Lopunny / Froslass
懒惰的金枪鱼,30,8,26.67,Marnie's Grimmsnarl / Marnie's Morgrem
haruto,24,8,33.33,Fezandipiti / Alakazam
Louis KLASING,19,8,42.11,Marnie's Grimmsnarl / Marnie's Morgrem
Roy Pidril,18,8,44.44,Marnie's Grimmsnarl / Marnie's Morgrem
kokun syu,20,8,40.0,Marnie's Grimmsnarl / Marnie's Morgrem
Azat Akhtyamov,21,8,38.1,Kangaskhan / Crustle
beeyan,20,8,40.0,Kangaskhan / Crustle
MarineYY,23,8,34.78,Kangaskhan / Crustle
Mearyl,18,8,44.44,Fezandipiti / Alakazam
Funky,18,8,44.44,Lopunny / Froslass
Konstantin Zhar,16,8,50.0,Marnie's Grimmsnarl / Marnie's Morgrem
seven,20,8,40.0,Lucario / Cornerstone Mask Ogerpon
Byer Script,19,7,36.84,Marnie's Grimmsnarl / Marnie's Morgrem
Dominic Peel & Rory Neville,16,7,43.75,Marnie's Grimmsnarl / Marnie's Morgrem
Yudai Ueno,19,7,36.84,Cynthia's Garchomp / Cynthia's Gabite
Alan_Nasibullin,25,7,28.0,Kangaskhan / Crustle
Roman Stupin,28,7,25.0,Lopunny / Dudunsparce
【共逐荣光】Timmy Juicehouse,18,7,38.89,Marnie's Grimmsnarl / Marnie's Morgrem
Emre Cirak,15,7,46.67,Fezandipiti / Alakazam
iwashi,17,7,41.18,Marnie's Grimmsnarl / Marnie's Morgrem
Zhu Liang,12,7,58.33,Kangaskhan / Cornerstone Mask Ogerpon
山上海賊団,15,7,46.67,Marnie's Grimmsnarl / Marnie's Morgrem
Luca                        :),14,7,50.0,Fezandipiti / Thwackey
GuerillaMoon,14,6,42.86,Marnie's Grimmsnarl / Marnie's Morgrem
Tony Li,15,6,40.0,Marnie's Grimmsnarl / Marnie's Morgrem
yalee,16,6,37.5,Fezandipiti / Alakazam
pokewaves,15,6,40.0,Fezandipiti / Alakazam
MOP Capital,15,5,33.33,Kangaskhan / Crustle
motono0223,9,5,55.56,Fezandipiti / Alakazam
mojyaP,16,5,31.25,Kangaskhan / Cornerstone Mask Ogerpon
PTCG_HORMONE,14,5,35.71,Marnie's Grimmsnarl / Marnie's Morgrem
neibyr,8,5,62.5,Marnie's Grimmsnarl / Marnie's Morgrem
Decision Treecko,20,5,25.0,Marnie's Grimmsnarl / Marnie's Morgrem
redblackbst,15,5,33.33,Fezandipiti / Alakazam
ヌメルゴンex,12,5,41.67,Marnie's Grimmsnarl / Marnie's Morgrem
Direc M,11,5,45.45,Marnie's Grimmsnarl / Marnie's Morgrem
yuki0202,6,5,83.33,Lopunny / Teal Mask Ogerpon
Artalmaz31,14,4,28.57,Teal Mask Ogerpon / Hero’s Cape
パチリス,12,4,33.33,Rillaboom / Thwackey
masspeaks,14,4,28.57,Fezandipiti / Alakazam
cununn,11,4,36.36,Marnie's Grimmsnarl / Marnie's Morgrem
あなまか,17,4,23.53,Kangaskhan / Cornerstone Mask Ogerpon
NorthStar,13,4,30.77,Fezandipiti / Alakazam
Abhyuday,10,4,40.0,Lucario / Dudunsparce
maco-macoo,7,4,57.14,Marnie's Grimmsnarl / Marnie's Morgrem
Pokopia,14,4,28.57,Dragapult / Meowth
Arthurs Torres24,10,4,40.0,Marnie's Grimmsnarl / Marnie's Morgrem
S. B.,13,4,30.77,Marnie's Grimmsnarl / Marnie's Morgrem
aaa,6,4,66.67,Fezandipiti / Alakazam
db,11,4,36.36,Kangaskhan / Crustle
KawattaTaido,6,4,66.67,Marnie's Grimmsnarl / Marnie's Morgrem
kwa,7,4,57.14,Kangaskhan / Cornerstone Mask Ogerpon
tamakiken_OB,6,4,66.67,Kangaskhan / Cornerstone Mask Ogerpon
AdrianWang2003,10,3,30.0,Fezandipiti / Alakazam
yoshitaka agent,8,3,37.5,Marnie's Grimmsnarl / Marnie's Morgrem
rhythm master,13,3,23.08,Fezandipiti / Alakazam
youtube.com/@BigBugginnings,9,3,33.33,Dragapult / Meowth
@kdcyberdude,8,3,37.5,Lopunny / Kangaskhan
zhan renyi,9,3,33.33,Marnie's Grimmsnarl / Marnie's Morgrem
Matsu,12,3,25.0,Marnie's Grimmsnarl / Marnie's Morgrem
Budew,13,3,23.08,Dragapult / Meowth
ToastUz,13,3,23.08,Kangaskhan / Cornerstone Mask Ogerpon
SantaClaws,8,3,37.5,Kangaskhan / Cornerstone Mask Ogerpon
Yigit Kayali,11,3,27.27,Marnie's Grimmsnarl / Marnie's Morgrem
RL or RULE,12,3,25.0,Marnie's Grimmsnarl / Marnie's Morgrem
Kers Aoyagi,7,3,42.86,Teal Mask Ogerpon / Crustle
Charmander & Meowth,15,2,13.33,Marnie's Grimmsnarl / Marnie's Morgrem
Haoming Chen 06,5,2,40.0,Fezandipiti / Alakazam
bono,9,2,22.22,Fezandipiti / Alakazam
Mint120,8,2,25.0,Marnie's Grimmsnarl / Marnie's Morgrem
msd0110,6,2,33.33,Fezandipiti / Alakazam
hotpotbro,10,2,20.0,Fezandipiti / Alakazam
Jie Orkarin,8,2,25.0,Marnie's Grimmsnarl / Marnie's Morgrem
Agent 33,9,2,22.22,Fezandipiti / Thwackey
pikapika,10,2,20.0,Marnie's Grimmsnarl / Marnie's Morgrem
junlee789,10,2,20.0,Marnie's Grimmsnarl / Marnie's Morgrem
suguuuuu & hiehie,7,2,28.57,Ethan's Typhlosion / Ethan's Quilava
⊂( ᴖ ̫ᴖ)⊃ ⊂(ᴖ ̫ᴖ )⊃,5,2,40.0,Fezandipiti / Alakazam
hukuda222,7,2,28.57,Cornerstone Mask Ogerpon / Cinderace
kisamaki0815,5,2,40.0,Alakazam / Kadabra
Leonardo Viola10,5,2,40.0,Marnie's Grimmsnarl / Marnie's Morgrem
lll,5,2,40.0,Marnie's Grimmsnarl / Marnie's Morgrem
Hiroki Yamazaki,7,1,14.29,Marnie's Grimmsnarl / Marnie's Morgrem
西松大祐,9,1,11.11,Marnie's Grimmsnarl / Marnie's Morgrem
djschmit,5,1,20.0,Lopunny / Dudunsparce
那个男人,7,1,14.29,Marnie's Grimmsnarl / Marnie's Morgrem
低消650元任你吃啊,5,1,20.0,Marnie's Grimmsnarl / Marnie's Morgrem
yuanzhe zhou,7,1,14.29,Marnie's Grimmsnarl / Marnie's Morgrem
me and the lads,5,1,20.0,Fezandipiti / Alakazam
tedo,5,1,20.0,Marnie's Grimmsnarl / Marnie's Morgrem
hayle60,5,0,0.0,Team Rocket's Mewtwo / Team Rocket's Spidops
shyjin,9,0,0.0,Marnie's Grimmsnarl / Marnie's Morgrem
T.Suzuki,5,0,0.0,Crustle / Dwebble
