mine,theirs,games,win_pct
Hydrapple / Teal Mask Ogerpon,N’s Zoroark / N’s Zorua,10,70.0
N’s Zoroark / N’s Zorua,Hydrapple / Teal Mask Ogerpon,10,30.0
Kangaskhan / Teal Mask Ogerpon,Dragapult / Meowth,10,70.0
Dragapult / Meowth,Kangaskhan / Teal Mask Ogerpon,10,30.0
Lopunny / Froslass,Team Rocket's Mewtwo / Team Rocket's Spidops,10,80.0
Team Rocket's Mewtwo / Team Rocket's Spidops,Lopunny / Froslass,10,20.0
Lucario / Hariyama,Teal Mask Ogerpon / Hero’s Cape,10,70.0
Teal Mask Ogerpon / Hero’s Cape,Lucario / Hariyama,10,30.0
Dragapult / Dudunsparce,Fezandipiti / Alakazam,9,44.44
Fezandipiti / Alakazam,Dragapult / Dudunsparce,9,55.56
Kangaskhan / Latias,Kangaskhan / Crustle,9,55.56
Kangaskhan / Crustle,Kangaskhan / Latias,9,44.44
Venusaur / Kangaskhan,Marnie's Grimmsnarl / Marnie's Morgrem,9,66.67
Marnie's Grimmsnarl / Marnie's Morgrem,Venusaur / Kangaskhan,9,33.33
Fezandipiti / Alakazam,Rillaboom / Thwackey,9,33.33
Rillaboom / Thwackey,Fezandipiti / Alakazam,9,66.67
Lopunny / Teal Mask Ogerpon,Dragapult / Meowth,9,11.11
Dragapult / Meowth,Lopunny / Teal Mask Ogerpon,9,88.89
Rillaboom / Dipplin,Fezandipiti / Alakazam,9,44.44
Fezandipiti / Alakazam,Rillaboom / Dipplin,9,55.56
Fezandipiti / Alakazam,Arboliva / Teal Mask Ogerpon,8,75.0
Arboliva / Teal Mask Ogerpon,Fezandipiti / Alakazam,8,25.0
Dragapult / Meowth,Dragapult / Blaziken,8,37.5
Dragapult / Blaziken,Dragapult / Meowth,8,62.5
Fezandipiti / Rillaboom,Fezandipiti / Alakazam,8,62.5
Fezandipiti / Alakazam,Fezandipiti / Rillaboom,8,37.5
Lopunny / Dudunsparce,Kangaskhan / Crustle,8,87.5
Kangaskhan / Crustle,Lopunny / Dudunsparce,8,12.5
Lopunny / Froslass,Dragapult / Dudunsparce,8,50.0
Dragapult / Dudunsparce,Lopunny / Froslass,8,50.0
Hydrapple / Teal Mask Ogerpon,Teal Mask Ogerpon / Hero’s Cape,8,100.0
Teal Mask Ogerpon / Hero’s Cape,Hydrapple / Teal Mask Ogerpon,8,0.0
Lucario / Cornerstone Mask Ogerpon,Marnie's Grimmsnarl / Marnie's Morgrem,8,50.0
Marnie's Grimmsnarl / Marnie's Morgrem,Lucario / Cornerstone Mask Ogerpon,8,50.0
Kangaskhan / Latias,Teal Mask Ogerpon / Hero’s Cape,8,25.0
Teal Mask Ogerpon / Hero’s Cape,Kangaskhan / Latias,8,75.0
N’s Zoroark / N’s Zorua,Kangaskhan / Teal Mask Ogerpon,8,37.5
Kangaskhan / Teal Mask Ogerpon,N’s Zoroark / N’s Zorua,8,62.5
Thwackey / Dipplin,Teal Mask Ogerpon / Hero’s Cape,8,75.0
Teal Mask Ogerpon / Hero’s Cape,Thwackey / Dipplin,8,25.0
Kangaskhan / Crustle,Thwackey / Dipplin,8,12.5
Thwackey / Dipplin,Kangaskhan / Crustle,8,87.5
Lopunny / Froslass,Lopunny / Teal Mask Ogerpon,8,75.0
Lopunny / Teal Mask Ogerpon,Lopunny / Froslass,8,25.0
Venusaur / Teal Mask Ogerpon,Lopunny / Froslass,8,25.0
Lopunny / Froslass,Venusaur / Teal Mask Ogerpon,8,75.0
Kangaskhan / Cornerstone Mask Ogerpon,Cynthia's Garchomp / Cynthia's Gabite,7,71.43
Cynthia's Garchomp / Cynthia's Gabite,Kangaskhan / Cornerstone Mask Ogerpon,7,28.57
Kangaskhan / Crustle,Hydrapple / Teal Mask Ogerpon,7,42.86
Hydrapple / Teal Mask Ogerpon,Kangaskhan / Crustle,7,57.14
Fezandipiti / Alakazam,Teal Mask Ogerpon / Tapu Bulu,7,85.71
Teal Mask Ogerpon / Tapu Bulu,Fezandipiti / Alakazam,7,14.29
Fezandipiti / Alakazam,Lopunny / Lillie’s Clefairy,7,14.29
Lopunny / Lillie’s Clefairy,Fezandipiti / Alakazam,7,85.71
Fezandipiti / Alakazam,Fezandipiti / Thwackey,7,42.86
Fezandipiti / Thwackey,Fezandipiti / Alakazam,7,57.14
Kangaskhan / Crustle,Venusaur / Teal Mask Ogerpon,7,57.14
Venusaur / Teal Mask Ogerpon,Kangaskhan / Crustle,7,42.86
Thwackey / Dipplin,Kangaskhan / Cornerstone Mask Ogerpon,7,14.29
Kangaskhan / Cornerstone Mask Ogerpon,Thwackey / Dipplin,7,85.71
Lopunny / Teal Mask Ogerpon,Kangaskhan / Crustle,7,85.71
Kangaskhan / Crustle,Lopunny / Teal Mask Ogerpon,7,14.29
Kangaskhan / Crustle,Kangaskhan / Crustle,6,50.0
Kangaskhan / Cornerstone Mask Ogerpon,Lucario / Hariyama,6,33.33
Lucario / Hariyama,Kangaskhan / Cornerstone Mask Ogerpon,6,66.67
Marnie's Grimmsnarl / Marnie's Morgrem,Teal Mask Ogerpon / Tapu Bulu,6,16.67
Teal Mask Ogerpon / Tapu Bulu,Marnie's Grimmsnarl / Marnie's Morgrem,6,83.33
N’s Zoroark / N’s Zorua,Kangaskhan / Latias,6,100.0
Kangaskhan / Latias,N’s Zoroark / N’s Zorua,6,0.0
Rillaboom / Thwackey,Lopunny / Froslass,6,83.33
Lopunny / Froslass,Rillaboom / Thwackey,6,16.67
Hydrapple / Teal Mask Ogerpon,Lopunny / Dudunsparce,6,66.67
Lopunny / Dudunsparce,Hydrapple / Teal Mask Ogerpon,6,33.33
Dragapult / Dudunsparce,Dragapult / Meowth,6,50.0
Dragapult / Meowth,Dragapult / Dudunsparce,6,50.0
Teal Mask Ogerpon / Hero’s Cape,Kangaskhan / Cornerstone Mask Ogerpon,6,16.67
Kangaskhan / Cornerstone Mask Ogerpon,Teal Mask Ogerpon / Hero’s Cape,6,83.33
Dragapult / Meowth,Thwackey / Dipplin,6,66.67
Thwackey / Dipplin,Dragapult / Meowth,6,33.33
Lucario / Cornerstone Mask Ogerpon,Fezandipiti / Alakazam,6,33.33
Fezandipiti / Alakazam,Lucario / Cornerstone Mask Ogerpon,6,66.67
Lopunny / Froslass,Lopunny / Lillie’s Clefairy,6,83.33
Lopunny / Lillie’s Clefairy,Lopunny / Froslass,6,16.67
Hydrapple / Teal Mask Ogerpon,Hydrapple / Teal Mask Ogerpon,6,50.0
Team Rocket's Mewtwo / Team Rocket's Spidops,Dragapult / Meowth,6,0.0
Dragapult / Meowth,Team Rocket's Mewtwo / Team Rocket's Spidops,6,100.0
Cynthia's Garchomp / Cynthia's Gabite,Thwackey / Dipplin,6,0.0
Thwackey / Dipplin,Cynthia's Garchomp / Cynthia's Gabite,6,100.0
Kangaskhan / Teal Mask Ogerpon,Lopunny / Froslass,5,60.0
Lopunny / Froslass,Kangaskhan / Teal Mask Ogerpon,5,40.0
Thwackey / Dipplin,Lucario / Hariyama,5,60.0
Lucario / Hariyama,Thwackey / Dipplin,5,40.0
Venusaur / Kangaskhan,Fezandipiti / Alakazam,5,0.0
Fezandipiti / Alakazam,Venusaur / Kangaskhan,5,100.0
Marnie's Grimmsnarl / Marnie's Morgrem,Arboliva / Teal Mask Ogerpon,5,40.0
Arboliva / Teal Mask Ogerpon,Marnie's Grimmsnarl / Marnie's Morgrem,5,60.0
Teal Mask Ogerpon / Hero’s Cape,Kangaskhan / Crustle,5,0.0
Kangaskhan / Crustle,Teal Mask Ogerpon / Hero’s Cape,5,100.0
Cynthia's Garchomp / Cynthia's Gabite,Dragapult / Meowth,5,40.0
Dragapult / Meowth,Cynthia's Garchomp / Cynthia's Gabite,5,60.0
Kangaskhan / Cornerstone Mask Ogerpon,Kangaskhan / Latias,5,20.0
Kangaskhan / Latias,Kangaskhan / Cornerstone Mask Ogerpon,5,80.0
Lucario / Hariyama,Kangaskhan / Crustle,5,80.0
Kangaskhan / Crustle,Lucario / Hariyama,5,20.0
Venusaur / Kangaskhan,Lopunny / Froslass,5,40.0
Lopunny / Froslass,Venusaur / Kangaskhan,5,60.0
Kangaskhan / Cornerstone Mask Ogerpon,Lopunny / Dudunsparce,5,0.0
Lopunny / Dudunsparce,Kangaskhan / Cornerstone Mask Ogerpon,5,100.0
Lucario / Hariyama,Lopunny / Teal Mask Ogerpon,5,60.0
Lopunny / Teal Mask Ogerpon,Lucario / Hariyama,5,40.0
Cornerstone Mask Ogerpon / Crustle,Fezandipiti / Alakazam,5,60.0
Fezandipiti / Alakazam,Cornerstone Mask Ogerpon / Crustle,5,40.0
Marnie's Grimmsnarl / Marnie's Morgrem,Thwackey / Seaking,5,0.0
Thwackey / Seaking,Marnie's Grimmsnarl / Marnie's Morgrem,5,100.0
